Original Word,Transliteration,Root,Telugu Meaning,English Meaning,Part of Speech,Strong's
"כַּף","kaph","כפף","చెయ్యి / అరచేయి","palm / hand","Noun","H3709"
"פסל","pasal","פסל","చెక్కు","to hew, cut","Verb","H6458"
"לֻחֹת","luchot","לוח","పలకలు","tablets","Noun","H3871"
"אֶבֶן","eben","אבן","రాయి","stone","Noun","H68"
"כָּתַב","katab","כתב","వ్రాయు","to write","Verb","H3789"
"בֹּקֶר","boker","בקר","ఉదయము","morning","Noun","H1242"
"הַר","har","הרר","పర్వతము","mountain","Noun","H2022"
"עָנָן","anan","ענן","మేఘము","cloud","Noun","H6051"
"רַחוּם","rachum","רחם","కనికరముగల","compassionate, merciful","Adjective","H7349"
"חַנּוּן","channun","חנן","కృపగల","gracious","Adjective","H2587"
"אֶרֶךְ","erek","ארך","దీర్ఘ","long, slow","Adjective","H750"
"אַפַּיִם","appayim","אף","కోపము (ముక్కురంధ్రములు)","anger, nostrils","Noun","H639"
"חֶסֶד","chesed","חסד","నిబంధన కృప","lovingkindness, steadfast love","Noun","H2617"
"אֱמֶת","emet","אמן","సత్యము","truth, faithfulness","Noun","H571"
"עָוֹן","avon","עוה","దోషము","iniquity, guilt","Noun","H5771"
"פֶּשַׁע","pesha","פשע","అపరాధము","transgression, rebellion","Noun","H6588"
"חַטָּאָה","chatta'ah","חטא","పాపము","sin","Noun","H2403"
"בְּרִית","berit","ברה","నిబంధన","covenant","Noun","H1285"
"נוֹרָא","nora","ירא","భీకరమైన","awesome, fearful","Adjective","H3372"
"מִזְבֵּחַ","mizbeach","זבח","బలిపీఠము","altar","Noun","H4196"
"קַנָּא","qanna","קנא","రోషముగల","jealous","Adjective","H7067"
"חַג","chag","חגג","పండుగ","festival, feast","Noun","H2282"
"שַׁבָּת","shabbat","שׁבת","విశ్రాంతి దినము","sabbath, rest","Noun","H7676"
"פָּדָה","padah","פדה","విమోచించు","to redeem","Verb","H6299"
"קָרַן","qaran","קרן","ప్రకాశించు","to shine, radiate","Verb","H7160"
"עוֹר","or","עור","చర్మము","skin","Noun","H5785"
"מַסְוֶה","masveh","סוה","ముసుగు","veil","Noun","H4533"
"דָּבָר","dabar","דבר","మాట లేదా విషయం","word or thing","Noun","H1697"
"מְלָאכָה","melakah","לאך","పని","work or occupation","Noun","H4399"
"שַׁבָּת","shabbat","שבת","విశ్రాంతి దినము","Sabbath","Noun","H7676"
"קֹדֶשׁ","qodesh","קדש","పరిశుద్ధత","holiness or sacredness","Noun","H6944"
"עֵדָה","edah","יעד","సమాజము","congregation or assembly","Noun","H5712"
"תְּרוּמָה","terumah","רום","అర్పణ","offering or contribution","Noun","H8641"
"זָהָב","zahab","זהב","బంగారము","gold","Noun","H2091"
"כֶּסֶף","kesep","כסף","వెండి","silver","Noun","H3701"
"נְחֹשֶׁת","nechoshet","נחש","ఇత్తడి","bronze or copper","Noun","H5178"
"מִשְׁכָּן","mishkan","שכן","మందిరము","tabernacle or dwelling place","Noun","H4908"
"אָרוֹן","aron","ארן","మందసము","ark or chest","Noun","H727"
"שֻׁלְחָן","shulchan","שלח","బల్ల","table","Noun","H7979"
"מְנֹרָה","menorah","נור","దీపస్తంభము","lampstand","Noun","H4501"
"קְטֹרֶת","qetoret","קטר","ధూపము","incense","Noun","H7004"
"חֲכַם-לֵב","chakam-leb","חכם / לבב","జ్ఞానహృదయముగల","wise-hearted","Adjective","H2450 / H3820"
"נָדִיב","nadib","נדב","ఉత్సాహముగల","willing or noble","Adjective","H5081"
"רוּחַ","ruach","רוח","ఆత్మ","spirit or breath","Noun","H7307"
"חָכְמָה","chokmah","חכם","జ్ఞానము","wisdom","Noun","H2451"
"בְּצַלְאֵל","Betsalel","צל / אל","బెసలేలు","Bezalel (In the shadow of God)","Proper Noun","H1212"
"אֶדֶן","eden","אדן","దిమ్మ","socket or base","Noun","H134"
"עָשָׂה","‘asah","עָשָׂה","చేయుట","to make, do, fashion","Verb","H6213"
"חָכָם","chakam","חָכַם","జ్ఞానముగల","wise, skilled, learned","Adjective","H2450"
"מְלָאכָה","melakah","לאך","పని / వృత్తి","work, craftsmanship, occupation","Noun","H4399"
"קֹדֶשׁ","qodesh","קָדַשׁ","పరిశుద్ధమైన","holiness, sanctuary, holy thing","Noun","H6944"
"יְרִיעָה","yeri‘ah","יָרַע","తెర / తెరచాప","curtain, tent-cloth","Noun","H3407"
"שֵׁשׁ","shesh","שֵׁשׁ","సన్ననార","fine linen","Noun","H8336"
"תְּכֵלֶת","tekelet","תְּכֵלֶת","నీలవర్ణము","blue, violet (material)","Noun","H8504"
"אַרְגָּמָן","’argaman","אַרְגָּמָן","ఊదా రంగు","purple","Noun","H713"
"כְּרוּב","kerub","כְּרוּב","కెరూబు","cherub","Noun","H3742"
"חָשַׁב","chashab","חָשַׁב","యోచించు / కల్పించు","to think, plan, design, weave","Verb","H2803"
"לֻלָאֹת","lula’ot","לֻלָאָה","ఉచ్చులు","loops","Noun","H3924"
"קֶרֶס","qeres","קָרַס","కొక్కెము","clasp, hook, gold tache","Noun","H7165"
"מִשְׁכָּן","mishkan","שָׁכַן","మందిరము / నివాసము","tabernacle, dwelling place","Noun","H4908"
"קֶרֶשׁ","qeresh","קָרַשׁ","పలక","board, plank","Noun","H7175"
"אֶדֶן","’eden","אָדַן","దిమ్మె / పీఠము","socket, base, pedestal","Noun","H134"
"בְּרִיחַ","beriyach","בָּרַח","గడియ","bar, crossbar","Noun","H1280"
"עַמּוּד","‘ammud","עָמַד","స్తంభము","pillar, column","Noun","H5982"
"צִפָּה","tsippah","צָפָה","పొదుగుట / పూత పూయుట","to overlay, cover","Verb","H6823"
"זָהָב","zahab","זָהָב","బంగారము","gold","Noun","H2091"
"נְחֹשֶׁת","nechoshet","נְחֹשֶׁת","రాగి / ఇత్తడి","bronze, copper, brass","Noun","H5178"
"וַיַּעַשׂ","Wayya'as","עָשָׂה","అతడు చేసెను","And he made","Verb","H6213"
"אָרוֹן","Aron","אָרַן","మందసము","Ark / Chest","Noun","H727"
"עֲצֵי שִׁטִּים","Atsey Shittim","עֵץ / שִׁטָּה","తుమ్మ కఱ్ఱ","Acacia wood","Noun","H6086 / H7848"
"זָהָב","Zahav","זָהָב","బంగారము","Gold","Noun","H2091"
"טָהוֹר","Tahor","טָהֵר","స్వచ్ఛమైన","Pure / Clean","Adjective","H2889"
"כַּפֹּרֶת","Kapporet","כָּפַר","కరుణాపీఠము","Mercy seat / Atonement cover","Noun","H3727"
"כְּרוּבִים","Keruvim","כְּרוּב","కెరూబులు","Cherubim","Noun","H3742"
"שֻׁלְחָן","Shulchan","שָׁלַח","బల్ల","Table","Noun","H7979"
"מְנֹרָה","Menorah","מָנוֹר","దీపవృక్షము / దీపస్తంభము","Lampstand","Noun","H4501"
"קָנֶה","Qaneh","קָנָה","కొమ్మ / శాఖ","Branch / Shaft","Noun","H7070"
"גְּבִיעִים","Gevi'im","גָּבִיעַ","గిన్నెలు","Cups / Bowls","Noun","H1375"
"מִזְבֵּחַ","Mizbeach","זָבַח","బలిపీఠము","Altar","Noun","H4196"
"קְטֹרֶת","Ketoret","קָטַר","ధూపము","Incense","Noun","H7004"
"שֶׁמֶן","Shemen","שָׁמַן","తైలము","Oil","Noun","H8081"
"מִשְׁחָה","Mishchah","מָשַׁח","అభిషేక","Anointing","Noun","H4888"
"מִזְבֵּחַ","mizbeach","זבח","బలిపీఠము","Altar","Noun","H4196"
"עֹלָה","olah","עלה","దహనబలి","Burnt offering","Noun","H5930"
"שִׁטִּים","shittim","שׁטה","తుమ్మ (కర్ర)","Acacia (wood)","Noun","H7848"
"נְחֹשֶׁת","nechoshet","נחשׁ","ఇత్తడి","Bronze / Copper","Noun","H5178"
"רֶשֶׁת","reshet","ירשׁ","జల్లెడ / వల","Grating / Net","Noun","H7568"
"כִּיּוֹר","kiyor","כור","గంగాళము / తొట్టి","Basin / Laver","Noun","H3595"
"מַרְאָה","mar'ah","ראה","అద్దము","Mirror","Noun","H4759"
"חָצֵר","chatzer","חצר","ఆవరణము","Court / Courtyard","Noun","H2691"
"עַמּוּד","ammud","עמד","స్తంభము","Pillar","Noun","H5982"
"אֶדֶן","eden","אדן","దిమ్మ / దిమ్మె","Base / Socket","Noun","H134"
"כֶּסֶף","kesef","כסף","వెండి","Silver","Noun","H3701"
"זָהָב","zahav","זהב","బంగారము","Gold","Noun","H2091"
"מִשְׁכָּן","mishkan","שׁכן","మందిరము / నివాసము","Tabernacle / Dwelling","Noun","H4908"
"פְּקוּדֵי","pequdei","פקד","లెక్కలు / వివరణాత్మక జాబితా","Accounts / Inventory","Noun","H6485"
"בְּצַלְאֵל","Betzalel","בצל","బెసలేలు","Bezalel (Proper Name)","Proper Noun","H1212"
"חָשַׁב","chashav","חשׁב","కల్పించుట / ఆలోచించుట","To devise / design","Verb","H2803"
"תְּכֵלֶת","techelet","תכלת","నీలవర్ణము","Blue (thread/fabric)","Noun","H8504"
"אַרְגָּמָן","argaman","ארגמן","ధూమ్రవర్ణము (ఊదా)","Purple","Noun","H713"
"מָסָךְ","masak","סכך","తెర","Screen / Covering","Noun","H4539"
"עָשָׂה","asah","עשׂה","చేయుట","To make / do","Verb","H6213"
"תְּכֵלֶת","tekhelet","תְּכֵלֶת","నీలవర్ణము","blue / violet","Noun","H8504"
"אַרְגָּמָן","argaman","אַרְגָּמָן","ఊదా రంగు","purple","Noun","H713"
"תּוֹלַעַת שָׁנִי","tola'at shani","שָׁנִי","రక్తవర్ణము","scarlet / crimson","Noun","H8144"
"בִּגְדֵי שְׂרָד","bigde serad","שְׂרָד","సేవా వస్త్రములు","garments of service / ministry garments","Noun","H8278"
"קֹדֶשׁ","qodesh","קָדַשׁ","పరిశుద్ధమైన","holy / sanctuary","Noun","H6944"
"אֵפוֹד","ephod","אָפַד","ఏఫోదు","ephod (priestly garment)","Noun","H646"
"זָהָב","zahav","זָהָב","బంగారము","gold","Noun","H2091"
"שֵׁשׁ","shesh","שֵׁשׁ","సన్ననార","fine linen","Noun","H8336"
"מָשְׁזָר","moshzar","שָׁזַר","పేనబడిన","twisted / twined","Adjective","H7806"
"חֹשֶׁן","hoshen","חֹשֶׁן","పదకము / రొమ్ముపతకం","breastplate","Noun","H2833"
"אֶבֶן","eben","אֶבֶן","రాయి / రత్నము","stone / gem","Noun","H68"
"מִעִיל","me'il","מָעַל","నిలువుటంగీ","robe / mantle","Noun","H4598"
"פַּעֲמֹן","pa'amon","פָּעַם","గంట","bell","Noun","H6472"
"רִמּוֹן","rimmon","רִמּוֹן","దానిమ్మపండు","pomegranate","Noun","H7416"
"מִצְנֶפֶת","mitznephet","צָנַף","పాగా","turban / mitre","Noun","H4701"
"כֻּתֹּנֶת","kuttonet","כָּתַן","అంగీ / చొక్కా","tunic / long coat","Noun","H3801"
"צִיץ","tsits","צוּץ","రేకు","shining plate / flower-like ornament","Noun","H6731"
"נֵזֶר","nezer","נָזַר","కిరీటము / ప్రతిష్ఠితము","crown / consecration / diadem","Noun","H5145"
"מְלָאכָה","melakah","לָאַךְ","పని / వృత్తి","work / craftsmanship / occupation","Noun","H4399"
"בָּרַךְ","barak","בָּרַךְ","దీవించుట","to bless","Verb","H1288"
"מִשְׁכָּן","Mishkan","שׁכן","నివాసస్థలము/మందిరము","Tabernacle/Dwelling place","Noun","H4908"
"אֹהֶל","Ohel","אהל","గుడారము","Tent","Noun","H168"
"מוֹעֵד","Moed","יעד","నిర్ణయించబడిన సమయము/కూటము","Appointed time/Meeting","Noun","H4150"
"אָרוֹן","Aron","ארה","మందసము","Ark/Chest","Noun","H727"
"עֵדֻת","Edut","עוד","సాక్ష్యము","Testimony","Noun","H5715"
"פָּרֹכֶת","Paroket","פרך","తెర","Veil/Curtain","Noun","H6532"
"שֻׁלְחָן","Shulchan","שׁלח","బల్ల","Table","Noun","H7979"
"מְנֹרָה","Menorah","נור","దీపవృక్షము","Lampstand","Noun","H4501"
"מִזְבֵּחַ","Mizbeach","זבח","బలిపీఠము","Altar","Noun","H4196"
"כִּיּוֹר","Kiyor","כור","గంగాళము/తొట్టి","Laver/Basin","Noun","H3595"
"חָצֵר","Chatzer","חצר","ఆవరణము","Courtyard/Enclosure","Noun","H2691"
"מָשַׁח","Mashach","משׁח","అభిషేకించు","To anoint","Verb","H4886"
"קָדַשׁ","Kadash","קדשׁ","ప్రతిష్టించు/పరిశుద్ధపరచు","To sanctify/consecrate","Verb","H6942"
"כָּהַן","Kahan","כהן","యాజకత్వము చేయు","To serve as a priest","Verb","H3547"
"עָנָן","Anan","ענן","మేఘము","Cloud","Noun","H6051"
"כָּבוֹד","Kavod","כבד","మహిమ","Glory/Honor","Noun","H3519"
"שָׁכַן","Shakan","שׁכן","నివసించు","To dwell/settle","Verb","H7931"
"מַסַּע","Massa","נסע","ప్రయాణము","Journey/Stage","Noun","H4550"
